"PolNum";"CalYear";"Gender";"Type";"Category";"Occupation";"Age";"Group1";"Bonus";"Poldur";"Value";"Adind";"SubGroup2";"Group2";"Density"
"54";200325769;2011;"Female";"A";"Large";"Employed";46;5;-30;9;20135;0;"L5";"L";50.35184483
"55";200325772;2011;"Female";"B";"Medium";"Housewife";39;15;-50;3;18335;0;"T9";"T";31.09742125
"56";200325773;2011;"Female";"C";"Large";"Retired";54;5;-30;6;13460;0;"L123";"L";60.91112257
"57";200325775;2011;"Female";"B";"Medium";"Unemployed";31;1;-50;1;9950;0;"T10";"T";20.3350899
"58";200325776;2011;"Male";"A";"Small";"Employed";19;11;-10;10;6585;0;"U7";"U";103.9493988
"59";200325777;2011;"Male";"B";"Small";"Self-employed";48;6;-40;2;8625;1;"Q10";"Q";169.7885554
"60";200325778;2011;"Male";"D";"Small";"Self-employed";47;10;-30;2;28830;1;"O4";"O";37.59594224
"61";200325779;2011;"Female";"B";"Small";"Self-employed";32;12;-50;7;28420;1;"Q53";"Q";129.8552354
"62";200325780;2011;"Male";"B";"Small";"Retired";52;14;-10;5;29330;0;"Q31";"Q";185.1345389
"63";200325781;2011;"Male";"C";"Medium";"Housewife";26;5;0;0;23105;1;"Q1";"Q";114.1413271
"64";200325782;2011;"Female";"B";"Medium";"Employed";31;3;-50;2;14840;0;"Q58";"Q";129.3156084
"65";200325783;2011;"Male";"C";"Small";"Self-employed";20;4;0;0;41335;0;"R16";"R";293.5560359
"66";200325784;2011;"Male";"D";"Small";"Employed";47;13;-30;0;19150;1;"M15";"M";162.9324677
"67";200325785;2011;"Male";"B";"Large";"Employed";56;19;-50;11;16505;1;"L87";"L";87.83581964
"68";200325786;2011;"Male";"A";"Large";"Housewife";35;7;50;6;10550;1;"S33";"S";31.60580864
"69";200325787;2011;"Female";"A";"Small";"Employed";23;12;40;2;20000;1;"R44";"R";237.4189585
"70";200325788;2011;"Female";"A";"Medium";"Housewife";39;18;30;0;18480;1;"T16";"T";56.04309848
"71";200325789;2011;"Female";"B";"Small";"Self-employed";43;16;-20;1;7780;0;"R35";"R";223.3085718
"72";200325790;2011;"Male";"A";"Small";"Self-employed";36;14;-50;13;25785;0;"P12";"P";36.54260314
"73";200325791;2011;"Male";"B";"Large";"Employed";47;8;-50;6;12540;1;"T26";"T";37.63520484
"74";200325792;2011;"Female";"C";"Small";"Employed";36;10;-40;2;21580;1;"Q3";"Q";110.9836779
"75";200325794;2011;"Female";"A";"Medium";"Retired";66;12;-50;2;17630;1;"L129";"L";57.41329485
"76";200325796;2011;"Female";"A";"Large";"Retired";46;8;-30;6;23010;1;"L134";"L";49.53391432
"77";200325798;2011;"Male";"B";"Large";"Retired";62;12;40;1;7010;1;"Q26";"Q";237.675525
"78";200325799;2011;"Male";"B";"Large";"Retired";63;18;-40;7;10465;0;"M17";"M";201.6569069
"79";200325800;2011;"Male";"A";"Small";"Retired";68;17;-50;1;8540;1;"R35";"R";223.3085718
"80";200325801;2011;"Male";"D";"Small";"Employed";29;10;0;3;2850;0;"L62";"L";66.69447337
"81";200325802;2011;"Male";"C";"Medium";"Unemployed";39;1;0;15;9860;0;"M7";"M";178.2443114
"82";200325803;2011;"Male";"A";"Medium";"Retired";73;15;-50;5;15775;0;"L89";"L";64.12305444
"83";200325804;2011;"Female";"E";"Small";"Employed";36;13;-10;1;7060;1;"L82";"L";57.0415314
"84";200325805;2011;"Female";"B";"Medium";"Employed";34;14;-50;9;8890;0;"L101";"L";70.06509679
"85";200325806;2011;"Female";"D";"Medium";"Housewife";44;7;-30;6;13065;1;"R15";"R";270.7883545
"86";200325807;2011;"Male";"B";"Large";"Retired";62;13;-50;3;10965;1;"S3";"S";27.86273727
"87";200325809;2011;"Male";"D";"Small";"Employed";40;9;30;5;8590;0;"S3";"S";27.86273727
"88";200325810;2011;"Female";"C";"Medium";"Employed";34;11;-50;2;22695;1;"Q40";"Q";189.9730181
"89";200325811;2011;"Male";"C";"Medium";"Employed";32;5;-40;1;18190;1;"M11";"M";156.1042255
"90";200325813;2011;"Male";"A";"Large";"Retired";60;17;-30;4;12820;1;"M6";"M";103.4727356
"91";200325814;2011;"Female";"D";"Medium";"Housewife";35;13;-40;1;5635;1;"L95";"L";68.37942919
"92";200325816;2011;"Male";"B";"Small";"Employed";32;9;90;13;15140;0;"O24";"O";31.49451567
"93";200325818;2011;"Male";"B";"Small";"Unemployed";33;1;-50;11;4600;1;"Q53";"Q";129.8552354
"94";200325819;2011;"Female";"E";"Large";"Self-employed";33;16;-10;0;8020;1;"Q44";"Q";150.2239631
"95";200325820;2011;"Female";"B";"Large";"Employed";45;11;0;13;8755;0;"Q41";"Q";213.2556548
"96";200325821;2011;"Female";"C";"Medium";"Self-employed";19;20;20;12;19860;0;"L41";"L";70.87357842
"97";200325822;2011;"Male";"D";"Large";"Employed";36;13;-40;8;46655;0;"Q47";"Q";208.6667182
"98";200325823;2011;"Male";"D";"Medium";"Employed";25;11;-30;10;27195;0;"R36";"R";276.3355652
"99";200325827;2011;"Female";"B";"Small";"Housewife";38;7;-30;14;4375;0;"L134";"L";49.53391432
"100";200325828;2011;"Male";"D";"Medium";"Employed";27;8;-50;11;11645;0;"Q11";"Q";73.18307109
"101";200325829;2011;"Female";"B";"Small";"Self-employed";18;18;0;2;24305;0;"L40";"L";76.05272599
"102";200325830;2011;"Male";"B";"Small";"Unemployed";37;20;60;13;25750;1;"R45";"R";225.0430894
"103";200325831;2011;"Male";"C";"Small";"Housewife";28;4;40;2;9360;0;"R41";"R";240.0004036
"104";200325832;2011;"Male";"C";"Medium";"Housewife";22;10;50;1;9530;0;"Q4";"Q";138.5066713
"105";200325833;2011;"Male";"B";"Small";"Housewife";59;8;-40;0;12795;1;"L52";"L";73.25249905
"106";200325834;2011;"Male";"B";"Small";"Self-employed";23;15;50;5;19810;0;"Q6";"Q";70.86106124
"107";200325836;2011;"Female";"C";"Medium";"Housewife";33;8;-20;0;8395;0;"Q41";"Q";213.2556548
"108";200325837;2011;"Female";"A";"Medium";"Retired";59;12;30;11;18030;1;"P33";"P";28.95139071
"109";200325841;2011;"Female";"F";"Medium";"Employed";39;17;-50;0;37670;0;"Q16";"Q";207.1446249
"110";200325842;2011;"Male";"D";"Small";"Employed";44;19;-50;9;12790;1;"S16";"S";36.54775004
"111";200325843;2011;"Female";"D";"Large";"Employed";32;12;-50;1;12245;0;"R34";"R";276.9950185
"112";200325844;2011;"Female";"A";"Medium";"Housewife";23;16;-20;2;9365;0;"L94";"L";84.22903844
"113";200325846;2011;"Male";"B";"Medium";"Retired";52;18;-40;0;1035;1;"R24";"R";225.1417422
"114";200325847;2011;"Male";"B";"Large";"Retired";61;7;150;2;43845;1;"Q38";"Q";161.4389472
"115";200325848;2011;"Female";"C";"Medium";"Employed";38;9;-30;5;9190;1;"S35";"S";19.2164848
"116";200325850;2011;"Male";"D";"Medium";"Employed";39;12;-20;5;22995;1;"M18";"M";99.28308074
"117";200325851;2011;"Male";"A";"Small";"Housewife";59;10;-30;1;24840;1;"N23";"N";77.49504574
"118";200325853;2011;"Female";"E";"Medium";"Employed";26;10;50;13;8830;0;"Q44";"Q";150.2239631
"119";200325854;2011;"Male";"D";"Large";"Self-employed";51;6;-30;0;13830;0;"Q60";"Q";112.4047945
"120";200325855;2011;"Male";"C";"Small";"Unemployed";20;14;0;13;7940;1;"L59";"L";61.94412023
"121";200325856;2011;"Male";"B";"Large";"Self-employed";42;10;-10;8;12630;1;"L109";"L";57.29188508
"122";200325859;2011;"Male";"D";"Large";"Self-employed";39;3;-50;6;8425;1;"Q7";"Q";83.76263662
"123";200325860;2011;"Male";"A";"Medium";"Housewife";21;10;0;0;19050;0;"U12";"U";54.93181221
"124";200325861;2011;"Female";"C";"Medium";"Retired";54;13;-40;1;12140;0;"S7";"S";32.57069103
"125";200325862;2011;"Male";"C";"Large";"Employed";26;8;-50;6;6870;0;"Q30";"Q";222.2151274
"126";200325863;2011;"Male";"A";"Large";"Employed";25;9;-50;15;23895;0;"N15";"N";113.2248348
"127";200325864;2011;"Female";"A";"Medium";"Retired";56;12;40;1;8235;1;"Q65";"Q";77.73738533
"128";200325866;2011;"Male";"D";"Small";"Self-employed";19;2;0;2;9810;0;"Q57";"Q";149.997808
"129";200325867;2011;"Male";"A";"Small";"Unemployed";20;3;0;5;21285;1;"Q33";"Q";129.6690079
"130";200325868;2011;"Male";"A";"Medium";"Employed";30;5;30;7;24175;1;"P24";"P";31.91620696
"131";200325869;2011;"Male";"A";"Large";"Employed";38;2;-50;10;7190;0;"L117";"L";85.63166734
"132";200325870;2011;"Male";"D";"Large";"Unemployed";25;9;0;0;24085;0;"P4";"P";19.2833619
"133";200325871;2011;"Male";"A";"Large";"Employed";44;15;-30;2;17390;1;"L84";"L";129.6779531
"134";200325873;2011;"Male";"A";"Large";"Retired";65;17;-10;13;2315;1;"P7";"P";25.62227499
"135";200325874;2011;"Male";"B";"Large";"Self-employed";53;9;60;11;14885;1;"R25";"R";270.874006
"136";200325876;2011;"Female";"F";"Large";"Housewife";42;13;-50;4;8290;1;"R15";"R";270.7883545
"137";200325877;2011;"Male";"D";"Small";"Self-employed";19;5;40;6;19575;1;"L78";"L";82.67020711
"138";200325879;2011;"Female";"A";"Large";"Housewife";75;10;-30;2;4215;1;"L107";"L";64.32860507
"139";200325880;2011;"Male";"A";"Medium";"Employed";47;17;-30;9;37775;1;"L97";"L";63.82886936
"140";200325881;2011;"Male";"D";"Large";"Self-employed";46;10;-50;12;19075;1;"N9";"N";118.8510133
"141";200325882;2011;"Male";"A";"Medium";"Self-employed";60;14;-10;0;28075;1;"L23";"L";63.15287215
"142";200325883;2011;"Female";"B";"Large";"Self-employed";28;10;-40;9;9965;1;"T6";"T";32.4149606
"143";200325884;2011;"Male";"A";"Medium";"Unemployed";57;18;100;9;38965;0;"R41";"R";240.0004036
"144";200325885;2011;"Male";"D";"Medium";"Employed";21;10;60;3;38465;1;"Q31";"Q";185.1345389
"145";200325886;2011;"Male";"B";"Medium";"Self-employed";44;7;-50;1;10755;1;"M15";"M";162.9324677
"146";200325887;2011;"Female";"A";"Medium";"Unemployed";58;14;-50;6;24620;1;"L48";"L";71.62174491
"147";200325888;2011;"Female";"C";"Medium";"Employed";28;19;40;2;48260;1;"U14";"U";123.0152076
"148";200325889;2011;"Female";"B";"Small";"Unemployed";39;6;-50;4;8905;1;"S29";"S";27.01981982
"149";200325890;2011;"Male";"C";"Small";"Employed";57;16;-50;13;21285;0;"R48";"R";238.240414
"150";200325891;2011;"Female";"C";"Large";"Housewife";36;4;-50;0;9550;1;"R24";"R";225.1417422
"151";200325892;2011;"Female";"C";"Small";"Employed";23;2;10;2;6625;0;"Q16";"Q";207.1446249
"152";200325893;2011;"Male";"D";"Large";"Self-employed";24;13;-10;1;8445;0;"Q62";"Q";91.45292269
"153";200325894;2011;"Male";"E";"Large";"Self-employed";53;13;-30;6;13530;1;"U5";"U";46.84863153
"154";200325895;2011;"Male";"D";"Small";"Housewife";41;6;-30;14;28165;0;"L59";"L";61.94412023
"155";200325896;2011;"Female";"E";"Medium";"Self-employed";38;12;80;13;5535;1;"Q59";"Q";95.69355223
"156";200325897;2011;"Male";"E";"Large";"Retired";63;4;-30;4;2275;1;"L99";"L";100.9312267
"157";200325898;2011;"Male";"B";"Large";"Employed";35;11;-50;6;4000;1;"T14";"T";20.85122582
"158";200325900;2011;"Female";"E";"Medium";"Employed";45;3;-30;9;8570;0;"Q42";"Q";148.4945135
"159";200325901;2011;"Female";"E";"Medium";"Housewife";50;3;100;9;2940;1;"R4";"R";185.8513852
"160";200325903;2011;"Female";"A";"Large";"Employed";24;10;10;6;29470;0;"L119";"L";74.57233929
"161";200325904;2011;"Male";"D";"Medium";"Self-employed";44;8;-50;4;19500;0;"S15";"S";32.26996388
"162";200325905;2011;"Male";"E";"Large";"Employed";49;7;130;12;17820;1;"N13";"N";94.29603751
"163";200325906;2011;"Male";"A";"Small";"Employed";44;11;0;1;31185;1;"T21";"T";29.82213153
"164";200325907;2011;"Male";"A";"Large";"Housewife";19;5;0;5;3450;1;"O19";"O";32.04149695
"165";200325909;2011;"Male";"A";"Small";"Retired";72;14;-50;13;4045;0;"R50";"R";223.3475567
"166";200325910;2011;"Male";"D";"Medium";"Housewife";32;7;-50;2;25990;1;"Q27";"Q";122.4496948
"167";200325912;2011;"Male";"C";"Large";"Self-employed";44;17;10;1;48510;1;"Q52";"Q";168.6499611
"168";200325913;2011;"Female";"D";"Large";"Self-employed";57;12;20;3;9745;0;"R29";"R";291.3194903
"169";200325914;2011;"Male";"C";"Small";"Housewife";33;12;-40;14;12715;0;"Q50";"Q";139.2056697
"170";200325916;2011;"Female";"A";"Medium";"Self-employed";32;7;-10;3;13915;1;"M17";"M";201.6569069
"171";200325917;2011;"Female";"B";"Large";"Employed";47;9;-20;0;17265;1;"Q5";"Q";99.6400095
"172";200325918;2011;"Female";"D";"Large";"Self-employed";22;12;0;0;23710;0;"R15";"R";270.7883545
"173";200325920;2011;"Male";"A";"Medium";"Housewife";36;10;-50;1;4135;1;"L119";"L";74.57233929
"174";200325921;2011;"Male";"B";"Small";"Employed";47;19;-40;1;8990;0;"Q28";"Q";169.5291484
"175";200325922;2011;"Female";"A";"Small";"Unemployed";59;14;-50;7;16750;1;"N6";"N";93.38235115
"176";200325923;2011;"Male";"B";"Large";"Retired";57;5;-50;5;14865;1;"R38";"R";284.2162652
"177";200325925;2011;"Male";"A";"Large";"Housewife";58;8;-40;13;3920;1;"L89";"L";64.12305444
"178";200325926;2011;"Male";"B";"Large";"Housewife";55;14;-50;10;17150;0;"R27";"R";250.8413259
"179";200325927;2011;"Female";"D";"Medium";"Employed";44;18;-50;0;15760;0;"Q45";"Q";98.10372854
"180";200325928;2011;"Female";"E";"Medium";"Retired";54;18;60;0;29610;1;"Q19";"Q";157.245582
"181";200325929;2011;"Female";"B";"Large";"Employed";34;13;10;1;9490;1;"Q32";"Q";148.3685156
"182";200325930;2011;"Female";"A";"Medium";"Employed";52;17;-50;6;20400;0;"L6";"L";58.89468755
"183";200325933;2011;"Male";"A";"Medium";"Retired";63;8;-50;3;16580;0;"M2";"M";139.2830008
"184";200325934;2011;"Male";"E";"Small";"Self-employed";29;8;10;0;8985;1;"N8";"N";106.5583041
"185";200325935;2011;"Male";"B";"Medium";"Housewife";31;5;-40;10;28155;1;"T28";"T";30.79319816
"186";200325936;2011;"Female";"A";"Large";"Self-employed";53;11;0;1;34285;0;"R15";"R";270.7883545
"187";200325937;2011;"Male";"D";"Small";"Self-employed";57;15;-50;6;31055;0;"L43";"L";73.26206886
"188";200325939;2011;"Female";"B";"Large";"Unemployed";36;14;-50;6;13855;1;"U2";"U";38.77083633
"189";200325940;2011;"Male";"E";"Medium";"Housewife";22;4;-10;10;20225;0;"Q16";"Q";207.1446249
"190";200325941;2011;"Male";"D";"Medium";"Housewife";31;9;-20;10;1325;1;"Q28";"Q";169.5291484
"191";200325942;2011;"Male";"A";"Small";"Housewife";38;10;60;14;9070;1;"O22";"O";32.18545326
"192";200325944;2011;"Male";"A";"Large";"Self-employed";39;10;-30;0;6455;1;"O39";"O";19.20951704
"193";200325945;2011;"Female";"D";"Small";"Unemployed";27;9;-40;5;7335;0;"Q54";"Q";124.2334338
"194";200325947;2011;"Female";"A";"Large";"Employed";41;6;-50;15;14305;0;"P13";"P";24.01754355
"195";200325948;2011;"Male";"A";"Large";"Self-employed";49;14;-50;4;9220;1;"Q18";"Q";211.8309492
"196";200325949;2011;"Male";"D";"Small";"Employed";50;8;-40;10;8535;0;"Q5";"Q";99.6400095
"197";200325950;2011;"Male";"D";"Medium";"Self-employed";28;12;-40;9;23310;1;"L12";"L";51.4116382
"198";200325951;2011;"Male";"B";"Medium";"Retired";59;14;-40;15;35450;1;"L21";"L";67.84790756
"199";200325952;2011;"Male";"A";"Small";"Employed";24;4;60;1;12395;1;"L133";"L";51.55500772
"200";200325953;2011;"Female";"D";"Medium";"Employed";25;16;10;5;24500;0;"Q10";"Q";169.7885554
"201";200325954;2011;"Male";"C";"Large";"Retired";64;14;-30;2;11025;0;"P19";"P";24.82652767
"202";200325955;2011;"Male";"D";"Medium";"Employed";32;9;0;14;1465;0;"R5";"R";258.9237292
"203";200325956;2011;"Male";"E";"Small";"Employed";48;17;-50;2;7320;1;"L59";"L";61.94412023
"204";200325957;2011;"Female";"F";"Small";"Retired";68;19;-20;14;28275;0;"U3";"U";94.65751646
"205";200325958;2011;"Male";"D";"Medium";"Housewife";38;6;10;1;15195;0;"P33";"P";28.95139071
"206";200325960;2011;"Female";"C";"Large";"Housewife";71;11;-30;10;12165;0;"Q5";"Q";99.6400095
"207";200325961;2011;"Female";"A";"Medium";"Self-employed";41;20;130;3;18690;0;"Q60";"Q";112.4047945
"208";200325964;2011;"Male";"A";"Medium";"Retired";55;11;80;0;13615;1;"S32";"S";25.26137811
"209";200325965;2011;"Female";"E";"Medium";"Self-employed";31;17;-50;2;9050;0;"N7";"N";88.95152383
"210";200325967;2011;"Male";"D";"Medium";"Employed";45;1;70;1;34065;1;"Q10";"Q";169.7885554
"211";200325968;2011;"Female";"A";"Small";"Unemployed";28;9;-10;1;20020;0;"L122";"L";66.11361207
"212";200325969;2011;"Male";"E";"Large";"Unemployed";45;6;10;8;28825;0;"T17";"T";32.99314961
"213";200325971;2011;"Male";"A";"Medium";"Retired";53;3;-30;5;22050;1;"T13";"T";30.79695284
"214";200325973;2011;"Male";"D";"Medium";"Employed";28;11;-20;0;12835;0;"M3";"M";141.0368682
"215";200325978;2011;"Male";"C";"Medium";"Employed";36;12;-30;14;10985;0;"R12";"R";260.3601885
"216";200325979;2011;"Female";"E";"Large";"Housewife";70;13;-40;10;18525;1;"Q13";"Q";166.5549379
"217";200325980;2011;"Male";"A";"Small";"Employed";18;1;0;9;14655;0;"L62";"L";66.69447337
"218";200325981;2011;"Male";"D";"Small";"Self-employed";46;15;-30;3;23750;1;"L121";"L";77.68823268
"219";200325982;2011;"Male";"A";"Large";"Self-employed";57;7;-30;6;15895;0;"P31";"P";33.27619903
"220";200325983;2011;"Male";"F";"Large";"Employed";44;1;40;9;8965;1;"L59";"L";61.94412023
"221";200325984;2011;"Female";"A";"Medium";"Housewife";60;14;-20;1;28835;1;"N8";"N";106.5583041
"222";200325985;2011;"Male";"F";"Small";"Retired";54;10;-30;14;15505;1;"S25";"S";31.81625935
"223";200325987;2011;"Male";"C";"Small";"Employed";41;11;-10;0;11305;1;"L45";"L";62.72127383
"224";200325989;2011;"Female";"F";"Small";"Employed";41;9;50;14;16335;1;"O10";"O";25.14133101
"225";200325991;2011;"Male";"A";"Large";"Retired";73;13;-30;7;15610;1;"L36";"L";58.59040352
"226";200325993;2011;"Female";"F";"Medium";"Unemployed";33;14;90;2;7970;1;"P3";"P";34.88186234
"227";200325994;2011;"Male";"C";"Small";"Self-employed";36;9;-10;3;8470;1;"R30";"R";296.4319078
"228";200325996;2011;"Male";"C";"Small";"Employed";27;5;20;1;8565;0;"O28";"O";29.1257717
"229";200325999;2011;"Male";"E";"Small";"Housewife";40;15;-50;1;16585;0;"T5";"T";31.05763979
"230";200326000;2011;"Male";"C";"Large";"Retired";68;6;-40;2;47345;0;"Q4";"Q";138.5066713
"231";200326002;2011;"Male";"D";"Large";"Employed";28;12;-30;1;46990;0;"S13";"S";17.8799582
"232";200326003;2011;"Male";"A";"Medium";"Employed";37;9;-10;7;14675;1;"O10";"O";25.14133101
"233";200326004;2011;"Male";"C";"Small";"Self-employed";33;5;-10;3;32445;0;"R37";"R";276.9454965
"234";200326005;2011;"Male";"B";"Large";"Self-employed";55;12;0;0;8680;0;"N14";"N";59.92134979
"235";200326006;2011;"Male";"A";"Large";"Retired";64;14;-30;1;8035;0;"Q17";"Q";202.5335882
"236";200326007;2011;"Male";"D";"Small";"Unemployed";25;12;0;0;21225;1;"L69";"L";81.90993935
"237";200326009;2011;"Male";"B";"Medium";"Retired";68;12;-40;11;6955;1;"L15";"L";54.19066433
"238";200326010;2011;"Male";"B";"Medium";"Housewife";45;4;-50;3;6265;0;"S25";"S";31.81625935
"239";200326011;2011;"Female";"D";"Small";"Housewife";50;13;-30;4;17505;0;"L28";"L";68.77710211
"240";200326012;2011;"Male";"D";"Medium";"Self-employed";42;14;-50;0;25720;1;"Q28";"Q";169.5291484
"241";200326015;2011;"Male";"D";"Large";"Unemployed";29;11;-30;8;9670;0;"L57";"L";44.92088199
"242";200326016;2011;"Female";"E";"Small";"Employed";45;15;-30;7;9270;1;"U21";"U";88.29014956
"243";200326017;2011;"Female";"C";"Small";"Unemployed";39;17;-30;13;7460;0;"U7";"U";103.9493988
"244";200326018;2011;"Male";"D";"Medium";"Self-employed";61;13;-10;12;29065;0;"L53";"L";66.12046108
"245";200326019;2011;"Male";"B";"Small";"Unemployed";36;8;-30;15;13060;1;"M21";"M";102.818883
"246";200326020;2011;"Female";"C";"Medium";"Employed";25;3;80;1;8525;1;"R26";"R";295.7970919
"247";200326022;2011;"Male";"D";"Small";"Self-employed";24;12;20;8;16145;0;"L67";"L";99.57981885
"248";200326023;2011;"Female";"D";"Small";"Unemployed";22;6;20;0;8625;0;"Q3";"Q";110.9836779
"249";200326025;2011;"Male";"C";"Medium";"Housewife";35;14;-10;3;9255;0;"L126";"L";64.30270938
"250";200326027;2011;"Female";"A";"Large";"Self-employed";50;10;-30;14;5520;1;"S22";"S";38.33660541
"251";200326028;2011;"Female";"B";"Large";"Unemployed";44;12;60;13;13600;1;"Q66";"Q";99.43621052
"252";200326031;2011;"Female";"A";"Medium";"Self-employed";49;12;70;5;7495;1;"L82";"L";57.0415314
"253";200326032;2011;"Male";"A";"Small";"Self-employed";29;16;40;0;14395;0;"T22";"T";31.98800317
"254";200326033;2011;"Male";"A";"Medium";"Self-employed";55;9;100;4;4955;0;"N11";"N";88.89623143
